description,num_of_ratings,rating,price_after_discount,price_before_discount,is_bestseller,product_category,discount
Fr18 Waterproof Smart Watch Black,7,1.8,660,660,No,smart watch,0%
"HK8 Pro Max 2.12"" AMOLED screen Ultra Smart Watch Series 8 49mm Memory 256MB Battery 320mAh Compass NFC Waterproof IP68 Wireless Charging",24,2.2,799,1900,No,smart watch,58%
Apple Watch Series 10 GPS 46mm Jet Black Aluminium Case With Black Sport Band,5100,4.7,19830,19899,Yes,smart watch,0%
HK 11 Ultra Max Smart Watch 2023 49mm Call Bluetooth AMOLED Smartwatch Men and women | NFC For Android & IOS (wear fitrpo) | Open Chat GPT | 2 straps,4,3.8,1300,1300,No,smart watch,0%
X8 Ultra Series 8 (2023) Smart Watch 2.08 Inch IPS display NFC Bluetooth V5 Call Waterproof IP67 Wireless Charger,489,4,642,2499,No,smart watch,74%
"AGPTEK Smart Watch for Men, 1.3'' Full Touch Fitness LW11 Watch with Heart Rate Monitor, DIY Watch Face, Message Notification, IP68 Waterproof Outdoor Sports Smartwatch for Android iOS Phones, Black",0,0,2499,2499,No,smart watch,0%
"HK8 Pro Max 2.12"" AMOLED screen Ultra Smart Watch Series 8 49mm Memory 256MB Battery 320mAh Compass NFC Waterproof IP68 Wireless Charging Orange",0,0,899,1090,No,smart watch,18%
"SCYKEI Scykei Civis Smartwatch 2.1″ Curved AMOLED display with always‑on mode, crystal‑clear Bluetooth calls, and 100+ sports modes with up to 30 days Stand By of battery life Black",68,4.1,1568,2355,No,smart watch,33%
Smart Watch T5S Black,135,2.6,299,500,No,smart watch,40%
"HK8 Pro Max 2.12"" AMOLED screen Ultra Smart Watch Series 8 49mm Memory 256MB Battery 320mAh Compass NFC Waterproof IP68 Wireless Charging Black",5,3,899,1090,No,smart watch,18%
X8 Ultra Series 8 (2023) Smart Watch 2.08 Inch IPS display NFC Bluetooth V5 Call Waterproof IP67 Wireless Charger - Black,489,4,649,2499,No,smart watch,74%
في & حول ساعة ذكية X9 PRO 2 - 3 أحزمة,0,0,662,1000,No,smart watch,34%
X-Inova X-Inova Germany MX 10 Smart Watch with 7 fashionable watch straps and Always on Clock,38,4.1,925,2500,No,smart watch,63%
"HK8 Pro Max 2.12"" AMOLED screen Ultra Smart Watch Series 8 49mm Memory 256MB Battery 320mAh Compass NFC Waterproof IP68 Wireless Charging Beige",0,0,899,1090,No,smart watch,18%
Fr18 Waterproof Smart Watch Red,0,0,660,660,No,smart watch,0%
Smart Watch Fk88 Pro 1.78 Full Hd Black,1,5,749,799,No,smart watch,6%
X9 Ultra Smart Watch Waterproof Wireless Charger (Orange),4,1.8,920,2900,No,smart watch,68%
T800 Ultra Smart Watch Series 8 49mm NFC Body Temperature Monitor Bluetooth Call Wireless (Black),7,1.1,355,530,No,smart watch,33%
Smart Watch Series 5 White,25,2.9,340,362.5,No,smart watch,6%
